name,tweet_content,tweet_url
MarshaCollier,@AmericanAir I have one of each LOL. There wasn't a space. See other tweets and DM coming/ Thank you,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_413.html
DrookerM,@AmericanAir between H and K,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_460.html
vickie_frisbie,@AmericanAir its pulling away from gate to get your departure time then leaving us on tarmac claiming power issues that magically repaired,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_81.html
scatignani,@SouthwestAir I never got a cancellation text from this morning either #bushleague or a number to call #weakservice,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_14.html
cubsfanz77,"@AmericanAir So now the flight he was checked in on YESTERDAY, gave away his seat.  THANKS for nothing.",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_488.html
bentoboxing,@AmericanAir still stuck in miami airport because of another overbooked flight. What are you doing? overbooking more flights. Wonderful.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_123.html
M_Feldman,@AmericanAir My last 15 tweets didnt work so I'm going to keep tweeting every day until someone from AA answers my email. Ref # 1-2660723499,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_412.html
brandonkoeth,@AmericanAir new one's fine. Old one was indisputably the best in the business.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_436.html
tristans,@AmericanAir online e-boarding pass application still failing.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_444.html
JRockstar007,@AmericanAir I'm just going to wear the polar bear! I've got enough room in my seat!! Keep me snugly warm! #avgeek #loveAA #lifeontheroad,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_475.html
luisperez27,"@AmericanAir flight 1388 tomorrow 5:15 am, status please, thanks",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_337.html
melanieyencken,"@AmericanAir need update on lost baggage at Heathrow, impossible to get answer on phone, can't understand email in garbled voicemail! Help!",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_158.html
chrisseifert83,@AmericanAir @USAirways amazing to wake up with no car #howamigettingit #sweettimes #worstairlineever,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_151.html
RumMidas,@AmericanAir @Banks do it banks and get the squid bitch fired,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_231.html
Pulga335,"@AmericanAir yo what's up with flight AA 913 to Bogota 
I've been in my seat for an hour already and we haven't taken off. 😠😠😠😡😡😤😤😤",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_250.html
r_astrojildo,@AmericanAir proof of incompetence: http://t.co/VXqUaJWSEu,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_107.html
stillupsocut,@AmericanAir presumably they are back logged because your website is in fact not working. Again.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_269.html
BethanySWinters,"@AmericanAir I'm sure you're doing all you can...it's been two hours, they don't know how much longer. Thanks for responding!",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_368.html
ERFedida,"@AmericanAir 1.5hrs later, apologies aren't going to cut it. A v-teer group just spent 8 days in Nica building houses &amp; come home to this",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_129.html
DrLisaCoaching,"@AmericanAir I am excited to share all about the @TheAcademy Awards with pics, departing Dallas now http://t.co/DEjdNYyQ8V",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_214.html
katyralston,@AmericanAir It's been 2 days and my bag hasn't been located yet. Last place I saw it was O'Hare. What's up in Chicago?,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_466.html
ggreenwald,@AmericanAir Your complete incompetence in resolving your huge screw-up is even much worse than the initial incident  http://t.co/H2JcI9YXnS,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_153.html
Mcoltro,@AmericanAir 901 #Miami to #Rio to participate at @RCM_Oficial representing @CisnerosMedia #yourstoryhere,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_79.html
EricRoberts,Eliza &amp; I cheated on u @AmericanAir with @AirTahitiNui &amp; it was a lovely flight. But we'll be back! Lots!,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_98.html
Izzy_Gold,@AmericanAir expect a call from my lawyers and my medical bills.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_126.html
misskennedys,@AmericanAir has terrible first class service. How do you confirm a special meal on a cross-country flight and not bring it? Rude staff too👎,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_222.html
agoldenbrown,@AmericanAir how have you not loaded our luggage on the plane and were OVER an hour delayed? #Flight293,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_78.html
Kaywillsmith,"@AmericanAir ....we have been on hold a total of 3.5 hours, each agent has been irritable and snappy",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_362.html
point_princess,@AmericanAir I‚Äôm having trouble selecting my seat for an upcoming flight. Can you help?,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_385.html
j_baucom,"@AmericanAir After being patient about my ""delayed"" bags for 5 weeks, I was told that it could take another 3 to 5 weeks. Unacceptable!",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_309.html
ariefriedheim,"@AmericanAir Understood. Integration takes time, but no excuse for poor customer service",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_324.html
Schultzer,@AmericanAir baggage update on 1401 in Miami?,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_173.html
juliebijl,@AmericanAir first we need to wait 35 days to get a refund. NOW we arrive and have no bags! Are you paying for the new items we need to buy?,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_226.html
farfalla818,@AmericanAir anything you can do?,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_339.html
Rom55Weber,@AmericanAir my bag is still in Miami and cannot be located?! How do you loose a bag like that? With a tag and everything?? (2),https://cf-public-view.s3.amazonaws.com/static_web_pages/file_500.html
thiago_olivetti,@AmericanAir no need to bother now. I'll formalize my complainings via other way than Twitter.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_494.html
JPKilzi,"@AmericanAir charges extra for bags, and then loses them! Now need a $50 cab ride ON TOP of that to pick it up! Worst airline ever!",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_195.html
KarineDelage,@AmericanAir it's been 2 hrs of wait on the phone a) worst customer services b) trying to know where my suitcase Is and way MORE 😤#ANGRY,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_73.html
JaJillian,@AmericanAir this is awful customer service.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_80.html
blake_blckwel1,@AmericanAir zero respect for service dogs or their owners. Lawyer not an idiot. Why lie http://t.co/eOj7Z9qg3i,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_238.html
TravelerTed,@AmericanAir How about an option to turn flight notifications to alerts. Don't need to know it's on time but nice to know it's late!,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_501.html
otisday,@AmericanAir @sarahzou translation: we don't reinvest our mammoth profits into the customer service experience. 'Cause we don't care.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_82.html
mwangbickler,"‚Äú@AmericanAir: @mwangbickler We apologize for your frustrations, Michael. Have you been rebooked?‚Äù -got call back after 10 hours. Bad.",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_325.html
twocrunch,"@AmericanAir Hi, I have my name, email, and AAdvantage #, but website won't let me reset password. Can we troubleshoot together? Thanks!",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_342.html
manuel_c,"I know it's a different team @AmericanAir seeing a coworker also having AA gate agent issues reminded me... As always, thanks for the help!",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_404.html
anuselgort,@AmericanAir @AnselElgort i think american airlines only wants your follow ansel lmaooooo,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_191.html
realgbnyc,"@AmericanAir lol typical .. Call this guy then call this other guy then we are sorry lol
Not good service for an #execplat",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_459.html
jbrumbelow,@AmericanAir guess what flight was just cancelled?? 2442 #morefrustrated,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_467.html
lovely_ness2,"@AmericanAir explain how almost 12 hours later STILL no one can tell me where my bags are, no one answers and I literally went back to the",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_178.html
cwenzel,@AmericanAir team in Tampa...  Thank you for all your help getting me on the plane back to ORD.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_432.html
kalenski,"@SouthwestAir If a travel advisory is posted for DEN, can I then make changes to my ticket? Anything I need to know before I call?",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_12.html
Parminy,@AmericanAir  and back now LAX --&gt; JFK! http://t.co/MpE69vFbyo,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_447.html
otisday,@AmericanAir @maylarosa15 Gate agents at JFK flee at any hint of trouble. Hope Your Detroit squad is more professional,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_102.html
excake,@AmericanAir stuck in airplane both on way out of PHL and again in Houston. All passengers frustrated. Makes me want to avoid airline,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_334.html
FLDrew,@FLDrew: @AmericanAir 1 bag/next at 6p (crossed fingers)- told 3 MIA flights have major #s of bags missing- no AA reps updating anyone,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_199.html
ggreenwald,"@AmericanAir flight 295, mia to lax. 1 1/2 hours for bags to arrive for whole flight. Still waiting",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_198.html
SarahHSUS,"@AmericanAir thanks - no delay yet it's American 1221 to Chicago, and then AA2346 to DCA",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_410.html
ScottHRoth,@AmericanAir Denise at OGG is taking care of me http://t.co/Gmg8pjKCCA,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_375.html
bratterrebecca,@AmericanAir Incredible! Flight 1196 MIA-EGE AA never got the bags on the plane #nocurrentstatus #horrible #familyvacation #noclothes,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_163.html
CNeff1,"@AmericanAir bad sensor problem in STL caused 90 min delay, now our Honduras team has to spend night in MIA.  Hoping they delay  (1 or 2)",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_392.html
thekevinbianchi,@AmericanAir Our flight attendant Kazia on flight 3473 from LGA to DAY was an absolute joy after a long day of delays and cancellations.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_465.html
ScottKegley,@AmericanAir how you had it before is fine w/ Tyler leaving earlier. As long as we can all get in to SFO around same time. Thank you!,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_389.html
edgarsantana,@JetBlue I am heading to JFK now just on principle alone to deal w my lost &amp; damaged bag. #jetblue #jetbluesucks #jfk #badservice #fail,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_20.html
kristin_davis,"@AmericanAir As far as I know, DFW. Not sure about other airports. For people w/ allergies, oatmeal is good, easy &amp; very healthy. @JHarpman",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_239.html
ConsumerVista,@AmericanAir more delays on return leg to SFO,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_480.html
CarlosHdez_PDG,@AmericanAir just landed in SJO in #AA943 and lugagge is missing no @AmericanAir supervisor is available to handle customers. Bad!!!,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_202.html
Charles_Joly,@AmericanAir the last was 2339 dfw to ord. Not weather related... Austin leg delayed as well,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_297.html
Rom55Weber,"@AmericanAir So i was visiting SJU and was returning to Paris and they checked my bag at the gate in SJU, i arrived in paris and nothing,(1)",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_332.html
deveredc,@AmericanAir what's happening with AA#2463? We're stuck at the gate in DFW and delayed by almost 75 minutes - no info. Any word?,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_458.html
iWorldSolutions,"@americanair flight veers off icy runway at @dfwairport. Most DFW flights canceled Monday, Flightaware says. http://t.co/atwyiFh6Zy",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_41.html
Rom55Weber,"@AmericanAir So i was visiting SJU and was returning to Paris and they checked my bag at the gate in SJU, i arrived in paris and nothing,(1)",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_71.html
magmum03,@SouthwestAir What an awesome flight Dallas 2 NY. Virgin America refused bc of my child's peanut allergy but u guys didn't. Thanks! 👍😊,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_9.html
RustCohle21,"Like JFK had a rough day in Dallas? RT @AmericanAir: @RustCohle21 We don't like what we're hearing, Jeff. It's been a rough few days for us.",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_204.html
TranceInJail,@AmericanAir you don't have wine on my 9am flight to LAX but you'll charge me $14 for two bottles of your penis sized bottles of vodka,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_150.html
cmcclarney,"@AmericanAir I've had exceptional svc from you guys before, but the guy on flight 309 into DFW was the absolute best I've ever encountered.",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_415.html
7onashoestring,@AmericanAir If we can leave Dallas. Stuck at the gate for an hour due to weather in SFO. #Dad2Summit,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_233.html
JonathanLaMare,"@AmericanAir Well, I didn't miss my connection, but after running 30 gates in MIA, my bags didn't make it to #PAP. Nothing like having to",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_434.html
rebeccabw,@AmericanAir Trying to find out if flight #340 DFW to HOU is on tonight. Exec platinum desk not calling back and online info not clear.,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_357.html
TinaHovsepian,@AmericanAir is the company from hell with NO consideration for customers that give it hundreds of millions of dollars per year #SMH,https://cf-public-view.s3.amazonaws.com/static_web_pages/file_56.html
farazq,"@AmericanAir can you do anything to get #AA953 moving? Been almost 24 hrs and hundreds at jfk upset, tired and want to get to BA.",https://cf-public-view.s3.amazonaws.com/static_web_pages/file_96.html
